,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%,MIN
171,1,4,20.70%,6.6,0.40%,0.3,-0.5,0.9,1.4,-0.9,-0.1,1.4,Vet,49.40%,36.20%,0,10.3,41.60%,23.9,85.30%,5.0,23.00%,0.9,Tyler Herro,7.6,1.10%,1.1,Miami Heat,3.6,25.90%,14.0
203,2,2,20.70%,6.2,0.50%,0.5,0.8,0.8,0.0,0.7,-0.4,0.0,Vet,48.20%,33.00%,0,9.9,48.40%,20.5,77.90%,5.6,24.70%,-1.1,Victor Oladipo,7.0,1.90%,2.0,Miami Heat,3.5,22.80%,10.0
213,1,0,6.00%,1.8,2.50%,2.2,1.3,-0.2,-1.5,1.2,-0.4,-1.2,Vet,58.80%,29.50%,0,3.5,20.70%,14.1,72.90%,4.9,32.70%,-1.7,Dewayne Dedmon,17.4,1.30%,1.3,Miami Heat,2.9,17.70%,1.0
236,1,4,9.20%,3.2,0.50%,0.4,0.7,-1.1,-1.8,1.5,-0.6,1.0,Vet,50.60%,34.70%,0,4.5,45.10%,10.4,74.30%,1.7,15.80%,-2.1,P.J. Tucker,10.0,1.50%,1.5,Miami Heat,1.4,10.90%,6.0
305,1,0,9.70%,2.9,1.60%,1.4,0.5,-1.0,-1.6,0.3,-1.2,2.0,Sophomore,53.40%,24.50%,0,1.9,8.90%,18.2,61.10%,5.1,28.50%,-1.5,Omer Yurtseven,18.9,1.10%,1.1,Miami Heat,2.5,20.20%,1.0
363,0,0,16.70%,6.4,0.30%,0.3,-0.4,-1.8,-1.4,-0.3,-1.6,0.6,Vet,48.70%,34.80%,0,9.8,63.30%,15.2,81.10%,1.9,14.20%,-1.3,Gabe Vincent,4.3,1.80%,1.8,Miami Heat,2.6,15.40%,0.0
402,0,0,11.20%,3.2,0.70%,0.6,-0.2,-1.8,-1.6,-0.3,-1.9,0.6,Rookie,45.90%,29.70%,0,8.6,50.90%,16.0,74.60%,3.0,19.40%,-1.6,Javonte Smart,6.1,1.60%,1.5,Miami Heat,2.3,16.00%,0.0
421,0,0,9.60%,2.9,0.70%,0.6,-0.6,-2.8,-2.2,-0.4,-2.0,0.0,Vet,44.80%,32.10%,0,8.1,42.20%,19.3,71.70%,2.5,14.10%,-1.7,Markieff Morris,9.4,1.00%,1.1,Miami Heat,2.8,19.80%,0.0
433,0,0,5.50%,1.8,0.60%,0.5,-1.0,-2.3,-1.3,-0.9,-2.1,-1.0,Vet,48.60%,35.70%,0,10.1,71.60%,13.4,76.30%,1.8,16.20%,-1.2,Mychal Mulder,4.8,0.90%,0.9,Miami Heat,1.5,14.20%,0.0
497,0,0,7.90%,2.4,1.00%,0.8,-1.0,-3.2,-2.2,-1.1,-3.2,-0.6,Vet,48.40%,29.60%,0,8.5,55.10%,15.0,59.50%,3.4,20.50%,-2.2,Haywood Highsmith,8.2,1.20%,1.2,Miami Heat,2.0,16.10%,0.0
505,0,0,5.70%,2.1,0.90%,0.7,-0.6,-4.9,-4.2,-0.2,-4.8,-0.3,Vet,45.80%,21.40%,0,2.9,18.40%,12.5,52.40%,1.0,10.40%,-4.6,Udonis Haslem,13.5,1.00%,1.0,Miami Heat,1.9,14.40%,0.0
